"","x"
"1",-5.42219114219111
"2",-5.39952557266452
"3",-5.37686000313793
"4",-5.35419443361134
"5",-5.33152886408475
"6",-5.30886329455816
"7",-5.28619772503157
"8",-5.26353215550498
"9",-5.2408665859784
"10",-5.21820101645181
"11",-5.19553544692522
"12",-5.17286987739863
"13",-5.15020430787204
"14",-5.12753873834545
"15",-5.10487316881886
"16",-5.08220759929227
"17",-5.05954202976568
"18",-5.03687646023909
"19",-5.0142108907125
"20",-4.99154532118591
"21",-4.96887975165932
"22",-4.94621418213273
"23",-4.92354861260614
"24",-4.90088304307955
"25",-4.87821747355296
"26",-4.85555190402637
"27",-4.83288633449979
"28",-4.8102207649732
"29",-4.78755519544661
"30",-4.76488962592002
"31",-4.74222405639343
"32",-4.71955848686684
"33",-4.69689291734025
"34",-4.67422734781366
"35",-4.65156177828707
"36",-4.62889620876048
"37",-4.60623063923389
"38",-4.5835650697073
"39",-4.56089950018071
"40",-4.53823393065412
"41",-4.51556836112753
"42",-4.49290279160094
"43",-4.47023722207435
"44",-4.44757165254777
"45",-4.42490608302118
"46",-4.40224051349459
"47",-4.379574943968
"48",-4.35690937444141
"49",-4.33424380491482
"50",-4.31157823538823
"51",-4.28891266586164
"52",-4.26624709633505
"53",-4.24358152680846
"54",-4.22091595728187
"55",-4.19825038775528
"56",-4.17558481822869
"57",-4.1529192487021
"58",-4.13025367917551
"59",-4.10758810964892
"60",-4.08492254012234
"61",-4.06225697059575
"62",-4.03959140106916
"63",-4.01692583154257
"64",-3.99426026201598
"65",-3.97159469248939
"66",-3.9489291229628
"67",-3.92626355343621
"68",-3.90359798390962
"69",-3.88093241438303
"70",-3.85826684485644
"71",-3.83560127532985
"72",-3.81293570580326
"73",-3.79027013627667
"74",-3.76760456675008
"75",-3.74493899722349
"76",-3.7222734276969
"77",-3.69960785817031
"78",-3.67694228864373
"79",-3.65427671911714
"80",-3.63161114959055
"81",-3.60894558006396
"82",-3.58628001053737
"83",-3.56361444101078
"84",-3.54094887148419
"85",-3.5182833019576
"86",-3.49561773243101
"87",-3.47295216290442
"88",-3.45028659337783
"89",-3.42762102385124
"90",-3.40495545432465
"91",-3.38228988479806
"92",-3.35962431527147
"93",-3.33695874574488
"94",-3.31429317621829
"95",-3.29162760669171
"96",-3.26896203716512
"97",-3.24629646763853
"98",-3.22363089811194
"99",-3.20096532858535
"100",-3.17829975905876
"101",-3.15563418953217
"102",-3.13296862000558
"103",-3.11030305047899
"104",-3.0876374809524
"105",-3.06497191142581
"106",-3.04230634189922
"107",-3.01964077237263
"108",-2.99697520284604
"109",-2.97430963331945
"110",-2.95164406379286
"111",-2.92897849426627
"112",-2.90631292473969
"113",-2.8836473552131
"114",-2.86098178568651
"115",-2.83831621615992
"116",-2.81565064663333
"117",-2.79298507710674
"118",-2.77031950758015
"119",-2.74765393805356
"120",-2.72498836852697
"121",-2.70232279900038
"122",-2.67965722947379
"123",-2.6569916599472
"124",-2.63432609042061
"125",-2.61166052089402
"126",-2.58899495136743
"127",-2.56632938184084
"128",-2.54366381231425
"129",-2.52099824278767
"130",-2.49833267326108
"131",-2.47566710373449
"132",-2.4530015342079
"133",-2.43033596468131
"134",-2.40767039515472
"135",-2.38500482562813
"136",-2.36233925610154
"137",-2.33967368657495
"138",-2.31700811704836
"139",-2.29434254752177
"140",-2.27167697799518
"141",-2.24901140846859
"142",-2.226345838942
"143",-2.20368026941541
"144",-2.18101469988882
"145",-2.15834913036223
"146",-2.13568356083565
"147",-2.11301799130906
"148",-2.09035242178247
"149",-2.06768685225588
"150",-2.04502128272929
"151",-2.0223557132027
"152",-1.99969014367611
"153",-1.97702457414952
"154",-1.95435900462293
"155",-1.93169343509634
"156",-1.90902786556975
"157",-1.88636229604316
"158",-1.86369672651657
"159",-1.84103115698998
"160",-1.81836558746339
"161",-1.7957000179368
"162",-1.77303444841021
"163",-1.75036887888362
"164",-1.72770330935704
"165",-1.70503773983045
"166",-1.68237217030386
"167",-1.65970660077727
"168",-1.63704103125068
"169",-1.61437546172409
"170",-1.5917098921975
"171",-1.56904432267091
"172",-1.54637875314432
"173",-1.52371318361773
"174",-1.50104761409114
"175",-1.47838204456455
"176",-1.45571647503796
"177",-1.43305090551137
"178",-1.41038533598478
"179",-1.38771976645819
"180",-1.36505419693161
"181",-1.34238862740502
"182",-1.31972305787843
"183",-1.29705748835184
"184",-1.27439191882525
"185",-1.25172634929866
"186",-1.22906077977207
"187",-1.20639521024548
"188",-1.18372964071889
"189",-1.1610640711923
"190",-1.13839850166571
"191",-1.11573293213912
"192",-1.09306736261253
"193",-1.07040179308594
"194",-1.04773622355935
"195",-1.02507065403276
"196",-1.00240508450617
"197",-0.979739514979585
"198",-0.957073945452995
"199",-0.934408375926406
"200",-0.911742806399817
"201",-0.889077236873227
"202",-0.866411667346638
"203",-0.843746097820048
"204",-0.821080528293459
"205",-0.79841495876687
"206",-0.77574938924028
"207",-0.753083819713691
"208",-0.730418250187101
"209",-0.707752680660512
"210",-0.685087111133923
"211",-0.662421541607333
"212",-0.639755972080744
"213",-0.617090402554155
"214",-0.594424833027565
"215",-0.571759263500976
"216",-0.549093693974386
"217",-0.526428124447797
"218",-0.503762554921208
"219",-0.481096985394617
"220",-0.458431415868028
"221",-0.435765846341439
"222",-0.413100276814849
"223",-0.39043470728826
"224",-0.367769137761671
"225",-0.345103568235081
"226",-0.322437998708492
"227",-0.299772429181902
"228",-0.277106859655313
"229",-0.254441290128724
"230",-0.231775720602134
"231",-0.209110151075545
"232",-0.186444581548955
"233",-0.163779012022366
"234",-0.141113442495777
"235",-0.118447872969187
"236",-0.095782303442598
"237",-0.0731167339160086
"238",-0.0504511643894192
"239",-0.0277855948628298
"240",-0.00512002533624045
"241",0.0175455441903489
"242",0.0402111137169383
"243",0.0628766832435277
"244",0.0855422527701171
"245",0.108207822296707
"246",0.130873391823297
"247",0.153538961349886
"248",0.176204530876475
"249",0.198870100403065
"250",0.221535669929654
"251",0.244201239456244
"252",0.266866808982833
"253",0.289532378509422
"254",0.312197948036012
"255",0.334863517562601
"256",0.357529087089191
"257",0.38019465661578
"258",0.402860226142369
"259",0.425525795668959
"260",0.448191365195548
"261",0.470856934722137
"262",0.493522504248727
"263",0.516188073775316
"264",0.538853643301906
"265",0.561519212828495
"266",0.584184782355084
"267",0.606850351881674
"268",0.629515921408263
"269",0.652181490934852
"270",0.674847060461443
"271",0.697512629988032
"272",0.720178199514621
"273",0.742843769041211
"274",0.7655093385678
"275",0.78817490809439
"276",0.810840477620979
"277",0.833506047147568
"278",0.856171616674158
"279",0.878837186200747
"280",0.901502755727337
"281",0.924168325253926
"282",0.946833894780515
"283",0.969499464307105
"284",0.992165033833694
"285",1.01483060336028
"286",1.03749617288687
"287",1.06016174241346
"288",1.08282731194005
"289",1.10549288146664
"290",1.12815845099323
"291",1.15082402051982
"292",1.17348959004641
"293",1.196155159573
"294",1.21882072909959
"295",1.24148629862618
"296",1.26415186815277
"297",1.28681743767936
"298",1.30948300720595
"299",1.33214857673254
"300",1.35481414625912
"301",1.37747971578571
"302",1.4001452853123
"303",1.42281085483889
"304",1.44547642436548
"305",1.46814199389207
"306",1.49080756341866
"307",1.51347313294525
"308",1.53613870247184
"309",1.55880427199843
"310",1.58146984152502
"311",1.60413541105161
"312",1.6268009805782
"313",1.64946655010479
"314",1.67213211963138
"315",1.69479768915797
"316",1.71746325868456
"317",1.74012882821114
"318",1.76279439773773
"319",1.78545996726432
"320",1.80812553679091
"321",1.8307911063175
"322",1.85345667584409
"323",1.87612224537068
"324",1.89878781489727
"325",1.92145338442386
"326",1.94411895395045
"327",1.96678452347704
"328",1.98945009300363
"329",2.01211566253022
"330",2.03478123205681
"331",2.0574468015834
"332",2.08011237110999
"333",2.10277794063658
"334",2.12544351016316
"335",2.14810907968975
"336",2.17077464921634
"337",2.19344021874293
"338",2.21610578826952
"339",2.23877135779611
"340",2.2614369273227
"341",2.28410249684929
"342",2.30676806637588
"343",2.32943363590247
"344",2.35209920542906
"345",2.37476477495565
"346",2.39743034448224
"347",2.42009591400883
"348",2.44276148353542
"349",2.46542705306201
"350",2.4880926225886
"351",2.51075819211519
"352",2.53342376164177
"353",2.55608933116836
"354",2.57875490069495
"355",2.60142047022154
"356",2.62408603974813
"357",2.64675160927472
"358",2.66941717880131
"359",2.6920827483279
"360",2.71474831785449
"361",2.73741388738108
"362",2.76007945690767
"363",2.78274502643426
"364",2.80541059596085
"365",2.82807616548744
"366",2.85074173501403
"367",2.87340730454062
"368",2.8960728740672
"369",2.91873844359379
"370",2.94140401312038
"371",2.96406958264697
"372",2.98673515217356
"373",3.00940072170015
"374",3.03206629122674
"375",3.05473186075333
"376",3.07739743027992
"377",3.10006299980651
"378",3.1227285693331
"379",3.14539413885969
"380",3.16805970838628
"381",3.19072527791287
"382",3.21339084743946
"383",3.23605641696605
"384",3.25872198649263
"385",3.28138755601923
"386",3.30405312554582
"387",3.3267186950724
"388",3.34938426459899
"389",3.37204983412558
"390",3.39471540365217
"391",3.41738097317876
"392",3.44004654270535
"393",3.46271211223194
"394",3.48537768175853
"395",3.50804325128512
"396",3.53070882081171
"397",3.5533743903383
"398",3.57603995986489
"399",3.59870552939148
"400",3.62137109891807
"401",3.64403666844466
"402",3.66670223797125
"403",3.68936780749783
"404",3.71203337702442
"405",3.73469894655101
"406",3.7573645160776
"407",3.78003008560419
"408",3.80269565513078
"409",3.82536122465737
"410",3.84802679418396
"411",3.87069236371055
"412",3.89335793323714
"413",3.91602350276373
"414",3.93868907229032
"415",3.96135464181691
"416",3.9840202113435
"417",4.00668578087009
"418",4.02935135039668
"419",4.05201691992326
"420",4.07468248944985
"421",4.09734805897644
"422",4.12001362850303
"423",4.14267919802962
"424",4.16534476755621
"425",4.1880103370828
"426",4.21067590660939
"427",4.23334147613598
"428",4.25600704566257
"429",4.27867261518916
"430",4.30133818471575
"431",4.32400375424234
"432",4.34666932376893
"433",4.36933489329552
"434",4.39200046282211
"435",4.41466603234869
"436",4.43733160187528
"437",4.45999717140188
"438",4.48266274092846
"439",4.50532831045505
"440",4.52799387998164
"441",4.55065944950823
"442",4.57332501903482
"443",4.59599058856141
"444",4.618656158088
"445",4.64132172761459
"446",4.66398729714118
"447",4.68665286666777
"448",4.70931843619436
"449",4.73198400572095
