"","features","rank_in_american","rank_in_british","difference"
"1","1_the",2232,1379,853
"2","10_years",1298,493,805
"3","2_the",2018,1211,807
"4","20_years",1740,698,1042
"5","3_the",1619,743,876
"6","4_the",256,94,162
"7","a_bad",2367,559,1808
"8","a_better",2411,1724,687
"9","a_big",2783,2064,719
"10","a_bit",2823,2552,271
"11","a_black",1730,217,1513
"12","a_book",2603,1241,1362
"13","a_brief",858,536,322
"14","a_british",373,520,147
"15","a_business",430,519,89
"16","a_car",982,1480,498
"17","a_case",1415,1537,122
"18","a_century",362,133,229
"19","a_certain",2037,2031,6
"20","a_chance",1799,1322,477
"21","a_change",133,1497,1364
"22","a_child",1562,1769,207
"23","a_clear",694,1555,861
"24","a_common",884,1548,664
"25","a_company",1924,1535,389
"26","a_copy",109,1119,1010
"27","a_country",841,453,388
"28","a_couple",2575,2178,397
"29","a_day",2328,2202,126
"30","a_different",2332,2325,7
"31","a_dozen",1296,58,1238
"32","a_family",414,1239,825
"33","a_few",3086,3020,66
"34","a_fine",801,1359,558
"35","a_former",2423,1691,732
"36","a_free",490,1030,540
"37","a_friend",2108,1005,1103
"38","a_full",1055,2089,1034
"39","a_general",449,2106,1657
"40","a_good",2990,2986,4
"41","a_government",1286,1006,280
"42","a_great",2787,2888,101
"43","a_group",1920,2364,444
"44","a_half",1095,1284,189
"45","a_high",868,2193,1325
"46","a_higher",242,897,655
"47","a_house",467,1073,606
"48","a_huge",2072,1281,791
"49","a_job",1818,925,893
"50","a_key",234,658,424
"51","a_kind",2194,837,1357
"52","a_large",2191,2857,666
"53","a_larger",523,29,494
"54","a_letter",1792,1520,272
"55","a_list",1436,840,596
"56","a_little",2975,2841,134
"57","a_local",575,2005,1430
"58","a_long",2777,2743,34
"59","a_lot",3026,2910,116
"60","a_major",2453,2742,289
"61","a_man",2861,2684,177
"62","a_massive",169,334,165
"63","a_matter",1658,2295,637
"64","a_member",1212,2377,1165
"65","a_mere",313,142,171
"66","a_million",649,156,493
"67","a_moment",1060,56,1004
"68","a_month",1835,1317,518
"69","a_more",2761,2849,88
"70","a_much",1549,1809,260
"71","a_national",1952,2002,50
"72","a_new",3078,3074,4
"73","a_number",2002,2981,979
"74","a_pair",770,408,362
"75","a_part",441,1092,651
"76","a_particular",736,2562,1826
"77","a_party",569,1149,580
"78","a_person",1705,2119,414
"79","a_personal",533,556,23
"80","a_piece",2779,815,1964
"81","a_place",1577,1656,79
"82","a_point",1260,1129,131
"83","a_policy",260,276,16
"84","a_political",2427,1213,1214
"85","a_position",106,994,888
"86","a_possible",185,61,124
"87","a_powerful",957,424,533
