"","x"
"the",265444
"of",115556
"to",107447
"a",100225
"and",95875
"in",74043
"that",62489
"is",49292
"for",37852
"it",31481
"on",29861
"as",28343
"with",26770
"but",22329
"by",22178
"his",21896
"he",21337
"was",21319
"i",19907
"be",19486
"are",19360
"this",18618
"not",18203
"an",18116
"have",17826
"at",16419
"from",15852
"has",15440
"you",15093
"about",14002
"or",13787
"who",12629
"they",12580
"new",11766
"more",11596
"one",11578
"will",10740
"their",10618
"all",10581
"if",10432
"which",9963
"would",9663
"its",9458
"what",9249
"so",8725
"no",8680
"out",8584
"her",8547
"than",8357
"had",8252
"when",8250
"we",8237
"been",7541
"up",7276
"like",7263
"can",7029
"were",6961
"there",6819
"it's",6562
"times",6427
"clinton",6373
"other",6365
"only",6238
"people",6122
"she",6119
"do",6112
"my",6103
"most",6044
"some",6039
"even",6033
"also",5844
"your",5818
"into",5794
"him",5710
"because",5691
"time",5674
"just",5644
"them",5595
"story",5557
"said",5540
"now",5256
"how",5238
"says",5186
"first",4857
"president",4715
"after",4695
"two",4629
"over",4623
"could",4546
"much",4522
"york",4401
"any",4296
"these",4249
"may",4154
"years",4129
"such",4106
"last",4098
"get",4070
"way",4050
"make",3976
"book",3938
"don't",3908
"should",3891
"me",3878
"our",3830
"say",3806
"many",3734
"world",3716
"then",3633
"those",3628
"too",3594
"think",3511
"american",3478
"did",3462
"good",3430
"while",3425
"house",3324
"u.s",3304
"against",3219
"being",3204
"why",3170
"both",3163
"does",3153
"percent",3152
"made",3090
"own",3081
"post",3049
"year",3040
"know",3028
"news",3019
"where",3003
"still",3000
"s",2999
"washington",2952
"well",2943
"might",2919
"before",2894
"government",2883
"since",2878
"here",2862
"life",2857
"see",2844
"another",2827
"nyt",2823
"between",2801
"never",2786
"political",2728
"back",2701
"movie",2664
"work",2663
"same",2642
"off",2639
"us",2629
"white",2623
"right",2611
"states",2608
"take",2549
"public",2538
"money",2524
"war",2519
"bill",2456
"week",2439
"down",2432
"very",2408
"slate",2365
"though",2356
"man",2350
"doesn't",2340
"few",2339
"less",2320
"want",2317
"case",2316
"paper",2307
"little",2299
"1",2283
"really",2278
"go",2266
"today",2236
"through",2230
"wp",2221
"question",2177
"day",2173
"state",2169
"long",2154
"big",2149
"something",2146
"national",2143
"united",2114
"million",2104
"three",2103
"every",2102
"reports",2086
"campaign",2082
"point",2077
"2",2071
"without",2068
"fact",2023
"clinton's",1998
"he's",1995
"whether",1966
"best",1958
"use",1957
"better",1949
"course",1943
"called",1936
"that's",1931
"going",1921
"next",1914
"piece",1897
"didn't",1882
"seems",1876
"must",1875
"great",1874
"around",1871
"papers",1846
"press",1844
"john",1841
"under",1835
"show",1823
"lat",1823
"business",1816
"part",1799
"least",1792
"real",1786
"can't",1782
"read",1775
"come",1772
"thing",1772
"during",1772
"end",1767
"ever",1760
"find",1753
"tax",1753
"report",1750
"each",1749
"issue",1738
"makes",1735
"women",1729
"black",1721
"article",1710
"old",1709
"bush",1701
"things",1698
"according",1655
"front",1648
"lead",1638
"gore",1632
"market",1631
"party",1626
"become",1626
"once",1620
"company",1617
"among",1610
"used",1608
"saying",1588
"got",1584
"himself",1582
"yet",1578
"look",1577
"recent",1574
"far",1574
"click",1573
"rather",1566
"cover",1565
"always",1564
"internet",1559
"actually",1557
"republican",1553
"give",1550
"page",1536
"put",1529
"there's",1528
"enough",1522
"street",1520
"ago",1520
"former",1516
"federal",1516
"journal",1511
"having",1509
"high",1505
"policy",1500
"told",1500
"death",1493
"answer",1492
"film",1490
"problem",1489
"3",1482
"family",1481
"power",1480
"law",1472
"country",1471
"days",1467
"again",1455
"home",1454
"children",1452
"almost",1451
"isn't",1443
"editorial",1430
"bad",1429
"however",1421
"men",1419
"critics",1415
"kind",1409
"republicans",1405
"need",1404
"until",1403
"love",1402
"los",1401
"george",1397
"history",1390
"already",1389
"instead",1378
"run",1372
"making",1371
"media",1361
"social",1357
"companies",1354
"america",1348
"wall",1345
"nothing",1342
"angeles",1338
"economic",1332
"place",1330
"system",1328
"name",1325
"second",1324
"away",1320
"number",1315
"past",1309
"city",1309
"call",1308
"perhaps",1303
"art",1298
"whose",1292
"thought",1291
"example",1291
"others",1290
"office",1285
"often",1277
"david",1275
"found",1273
"probably",1272
"left",1268
"goes",1261
"congress",1259
"web",1258
"10",1257
"idea",1254
"school",1254
"believe",1252
"help",1251
"true",1248
"sense",1245
"hard",1243
"early",1242
"human",1242
"military",1239
"words",1234
"free",1233
"sex",1231
"pay",1206
"am",1201
"several",1197
"top",1196
"site",1194
"deal",1194
"dear",1187
"seem",1182
"job",1176
"different",1171
"important",1168
"20",1167
"senate",1166
"young",1166
"support",1163
"means",1163
"asked",1163
"television",1159
"given",1157
"evidence",1156
"although",1154
"general",1150
"leads",1150
"word",1144
"tell",1137
"british",1134
"microsoft",1130
"anything",1129
"later",1129
"china",1125
"talk",1124
"line",1121
"posted",1121
"group",1120
"keep",1117
"magazine",1114
"care",1113
"set",1113
"books",1111
"woman",1108
"court",1106
"politics",1104
"itself",1102
"wrote",1100
"came",1099
"lot",1089
"small",1088
"including",1088
"americans",1084
"wrong",1083
"let",1078
"reason",1071
"starr",1067
"notes",1066
"either",1066
"stock",1062
"stories",1060
"information",1053
"economy",1052
"inside",1050
"billion",1048
"calls",1046
"michael",1044
"democratic",1043
"late",1042
"themselves",1042
"likely",1042
"bradley",1041
"presidential",1039
"service",1038
"security",1037
"four",1036
"century",1035
"international",1033
"control",1031
"questions",1029
"feel",1024
"rights",1024
"review",1021
"sure",1019
"done",1017
"order",1017
"everyone",1006
"tv",1002
"current",1000
"someone",1000
"getting",996
"doing",996
"health",996
"democrats",993
"mean",992
"matter",991
"went",989
"trying",988
"4",986
"action",985
"personal",984
"took",984
"private",978
"comes",976
"whole",971
"today's",971
"plan",971
"interest",964
"music",962
"especially",961
"reported",957
"future",956
"decision",954
"hand",948
"subject",948
"5",946
"anyone",945
"conservative",941
"foreign",939
"possible",937
"kids",936
"months",936
"face",933
"th",932
"tuesday",932
"clear",923
"major",922
"members",921
"gets",920
"person",919
"force",916
"e-mail",911
"daily",907
"shows",907
"change",897
"election",897
"play",896
"points",893
"simply",892
"robert",891
"column",889
"five",888
"vote",887
"else",885
"issues",884
"trade",884
"newsweek",884
"recently",883
"industry",883
"writing",882
"peace",881
"note",877
"cut",877
"maybe",876
"side",876
"spin",876
"special",874
"list",874
"won't",873
"age",873
"administration",872
"star",871
"head",871
"half",870
"south",866
"along",864
"legal",863
"movies",858
"air",856
"full",855
"sunday",854
"lost",854
"view",849
"chatterbox",848
"live",845
"race",844
"independent",842
"morning",839
"turn",834
"what's",832
"large",832
"despite",831
"al",826
"toward",825
"buy",825
"similar",823
"game",822
"monica",821
"wants",820
"culture",819
"parents",818
"seen",817
"night",815
"friends",814
"program",813
"front-page",808
"defense",807
"debate",807
"sexual",806
"official",806
"quite",803
"cost",803
"kosovo",801
"include",800
"sort",799
"taken",798
"reform",796
"claims",792
"drug",792
"readers",792
"budget",789
"department",789
"financial",788
"common",788
"mind",787
"usa",787
"standard",783
"monday",777
"wife",777
"justice",777
"price",776
"officials",774
"able",774
"close",771
"nearly",771
"based",771
"behind",770
"minister",768
"chinese",765
"local",764
"try",763
"computer",763
"i've",762
"ask",761
"committee",760
"yesterday",759
"mccain",758
"coverage",756
"theory",756
"bit",755
"working",755
"led",754
"richard",753
"university",750
"act",749
"published",748
"phone",747
"poor",746
"rate",745
"role",743
"gave",742
"mr",742
"address",741
"yes",740
"impeachment",739
"stop",738
"writes",737
"using",736
"takes",734
"process",733
"written",732
"weeks",727
"friend",726
"jones",726
"child",724
"turned",723
"speech",722
"leader",722
"taking",721
"soon",720
"month",720
"london",720
"police",720
"everything",719
"popular",718
"director",718
"latest",717
"study",716
"short",714
"known",713
"attention",713
"william",713
"hope",713
"third",713
"father",712
"nation",711
"trial",710
"single",710
"russian",709
"finally",708
"running",708
"position",707
"james",706
"whom",706
"claim",705
"worth",705
"nato",702
"education",702
"countries",701
"scandal",699
"apparently",699
"west",698
"argument",698
"start",698
"wasn't",695
"online",695
"union",695
"form",693
"students",692
"indeed",691
"pretty",690
"truth",689
"six",686
"problems",686
"runs",685
"return",685
"spending",684
"1998",683
"w",682
"30",682
"candidate",682
"moral",682
"6",681
"lives",681
"east",680
"headline",679
"record",677
"together",677
"dole",677
"candidates",676
"food",676
"modern",673
"schools",672
"mother",672
"ways",671
"prime",671
"editor",670
"wanted",669
"european",669
"serious",668
"god",667
"dead",666
"voters",666
"leaders",665
"bob",665
"write",664
"capital",661
"she's",659
"guy",658
"wouldn't",657
"friday",656
"secret",656
"move",652
"space",652
"liberal",652
"reading",650
"cannot",650
"result",649
