"","x"
"A00",-44.6417058823529
"A01",-43.0329268292683
"A02",-44.3741714285714
"A03",-46.1482134831461
"A04",-48.7579419525066
"A05",-47.6901351351351
"A06",-43.7617989690722
"A0A",-45.8696282527881
"A0B",-50.3118052256532
"A0C",-45.4604761904762
"A0E",-47.3325636942675
"A0H",-47.6695833333333
"A0K",-55.2287331536388
"A0M",-45.5373350923483
"A0P",-48.1860047562426
"A0S",-44.2444155844156
"A0V",-45.4605005213764
"A0W",-44.0442857142857
"A0X",-45.0583681214421
"A0Y",-44.5802547770701
"A10",-45.749226519337
"A11",-48.6683230958231
"A12",-49.0985714285714
"A13",-45.6109952606635
"A14",-45.1507182320442
"A15",-45.8526420454545
"A16",-47.609793814433
"A17",-43.3006570996979
"A18",-46.9523742454728
"A1A",-49.673751651255
"A1B",-51.626429022082
"A1D",-49.2238607594937
"A1E",-46.4711188811189
"A1F",-45.967037037037
"A1G",-47.2677647058823
"A1H",-47.215
"A1J",-47.2348
"A1K",-45.6546590909091
"A1L",-45.3155172413793
"A1N",-46.6719344773791
"A1P",-49.2450526315789
"A1R",-50.4329090909091
"A1S",-46.7966257668712
"A1T",-46.6154198473282
"A1U",-45.4687692307692
"A1V",-47.33
"A1W",-48.3485714285714
"A1Y",-47.1810307692308
"A20",-46.3012162162162
"A21",-45.71640625
"A22",-48.3167069486405
"A23",-47.0934285714286
"A24",-46.525
"A25",-48.7324812030075
"A26",-46.6557142857143
"A27",-47.035
"A28",-47.0094226804124
"A29",-50.7468644067797
"A2A",-47.7583886255924
"A2B",-48.551875
"A2C",-45.5203773584906
"A2D",-46.0895081967213
"A2E",-47.658202247191
"A2F",-48.6673387096774
"A2G",-48.5865853658537
"A2H",-45.9721234119782
"A2J",-45.1582692307692
"A2K",-45.1308219178082
"A2L",-42.8329435483871
"A2M",-48.0709160305343
"A2N",-48.9766371681416
"A2P",-47.56
"A2R",-50.7685
"A2S",-47.9592893401015
"A2T",-47.2862809917355
"A2U",-51.5531914893617
"A2V",-46.4048155737705
"A2X",-48.6477083333333
"A2Y",-49.9441044776119
"A30",-47.0933282442748
"A31",-47.5455244755245
"A32",-44.9011206896552
"A33",-48.1904030710173
"A34",-48.258961038961
"A35",-48.2077551020408
"A36",-47.2834523809524
"A37",-45.8427008928571
"A39",-45.7633962264151
"A3A",-45.6368811881188
"A3B",-47.4322222222222
"A3C",-44.9359854014599
"A3D",-48.3609919571046
"A3E",-46.5081707317073
"A3F",-52.5576635514019
"A3G",-47.5525673249551
"A3H",-42.0317857142857
"A3J",-44.5680172413793
"A3K",-47.6085915492958
"A3L",-47.6318512396694
"A3M",-44.2234868421053
"A3N",-45.6199657534247
"A3P",-46.4493162393162
"A3R",-47.9714285714286
"A3S",-47.56
"A3T",-44.5078378378378
"A3U",-48.8995153061225
"A3V",-48.25
"A3W",-48.2825984251969
"A3X",-41.1220814479638
"A40",-47.59223183391
"A41",-50.044
"A42",-48.71368
"A43",-46.8621590909091
"A45",-45.9031210191083
"A46",-48.2901002004008
"A47",-50.6047619047619
"A49",-47.3380843585237
"A4A",-43.839132231405
"A4B",-48.4258495145631
"A4C",-44.7951748251748
"A4D",-46.9214925373134
"A4E",-48.9912837837838
"A4F",-46.5332596685083
"A4H",-47.2859122401848
"A4J",-49.57
"A4K",-46.8168459302326
"A4L",-47.56
"A4M",-44.8922929936306
"A4N",-44.6431818181818
"A4P",-47.5898701298701
"A4R",-48.6882432432432
"A4S",-48.5691629955947
"A4U",-45.6769113924051
"A4V",-45.743
"A4W",-46.344476744186
"A4X",-47.992306122449
"A4Y",-48.4120454545454
"A50",-47.9440178571429
"A51",-46.548
"A52",-47.438396039604
"A53",-49.885
"A54",-45.5426506024096
"A55",-46.5147234042553
"A56",-44.9417574257426
"A57",-46.5320696721311
"A58",-49.0602752293578
"A59",-47.529628610729
"A5A",-47.6792146596859
"A5B",-44.4175903614458
"A5C",-47.9198767967146
"A5D",-49.9397959183673
"A5E",-46.4853617021277
"A5F",-46.7459210526316
"A5G",-46.2881779661017
"A5H",-44.0815882352941
"A5J",-47.0392452830189
"A5K",-46.009225
"A5L",-46.0347368421053
"A5M",-47.7248522167488
"A5N",-43.9421621621622
"A5P",-48.7135114503817
"A5R",-47.45127925117
"A5S",-47.3766433566434
"A5T",-47.2012
"A5U",-46.1751202263083
"A5V",-46.3434210526316
"A5W",-43.9602135231317
"A5X",-46.3459237536657
"A5Y",-47.2451898734177
"A60",-47.6741194486983
"A61",-43.2959705061778
"A62",-47.8497094657919
"A63",-43.0119711538462
"A64",-47.0189208633093
"A65",-44.0220922570016
"A66",-47.8076148796499
"A67",-46.2534636118598
"A69",-50.0047050847458
"A6A",-45.3759691011236
"A6B",-48.9294136986301
"A6C",-43.6717200674536
"A6D",-50.1131231409875
"A6E",-41.8238452088452
"A6F",-48.140626223092
"A6G",-49.5421741778319
"A6L",-45.3008225108225
"A6M",-51.1685558583106
"A6R",-42.5791646919431
"A6S",-50.1884567039106
"A6T",-43.5379925650558
"A6U",-47.2336734693878
"A6V",-44.4081022880215
"A6W",-47.1999770817418
"A6X",-46.8562771908017
"A6Y",-46.5415285171103
"A70",-43.319855361596
"A77",-46.325405254332
"A7C",-46.9324184615385
"A7D",-45.126806640625
"A7F",-45.5718181818182
"A7G",-42.2818496621622
"A7H",-46.4536555360281
"A7L",-52.4112706766917
"A7N",-43.2914039408867
"A7P",-43.370569185476
"A7S",-46.0579012345679
"A7T",-46.5377777777778
"A7U",-45.6378571428571
"A7V",-45.4395518867925
"A7W",-45.7544599303136
"A7X",-42.4790909090909
"A7Y",-44.2608196721311
"A80",-45.6467545638945
"A81",-42.1181132075472
"A83",-44.45875
"A85",-46.2668314606742
"A86",-45.8084615384615
"A87",-46.9530290456431
"A88",-46.1008196721311
