"","x"
"A00",51.246758028948
"A01",63.4982808987022
"A02",53.4524966981132
"A03",45.0065718769893
"A04",43.5804079349356
"A05",55.505838513323
"A06",64.2355930052433
"A0A",60.4914216108448
"A0B",37.5874042881135
"A0C",50.0869785406196
"A0E",42.7429223440905
"A0H",58.9251443434748
"A0K",27.879418560041
"A0M",61.6140512967091
"A0P",49.6622250079429
"A0S",49.4050467462173
"A0V",57.6489350104198
"A0W",62.9289504617968
"A0X",60.5602329118138
"A0Y",52.7531027765754
"A10",40.9790203758734
"A11",46.6702217798058
"A12",46.1990596479471
"A13",56.2455952386004
"A14",59.0013351650314
"A15",60.9281346752883
"A16",57.4038939049427
"A17",65.7384706551653
"A18",52.7150709605121
"A1A",31.8947957608714
"A1B",46.708706974278
"A1D",42.9807077368982
"A1E",47.5065551037659
"A1F",48.8034281217283
"A1G",41.6093733709052
"A1H",44.0501923076923
"A1J",44.7569070640525
"A1K",64.6922303188385
"A1L",56.9315697137581
"A1N",58.0057545343232
"A1P",47.0004829031177
"A1R",44.2761524737367
"A1S",49.1069832427747
"A1T",45.4739581505901
"A1U",52.0408859416446
"A1V",46.0407647990995
"A1W",38.4651033057851
"A1Y",45.4124731670023
"A20",43.7906745639607
"A21",40.9640959821429
"A22",52.0533140651953
"A23",46.4679074452158
"A24",45.1607876712329
"A25",44.7912812971575
"A26",51.636534117283
"A27",47.7408747508846
"A28",45.4650191866361
"A29",35.3173694307956
"A2A",44.4976854739881
"A2B",49.2727433968059
"A2C",55.2631208013323
"A2D",52.601233194878
"A2E",55.0499349420888
"A2F",41.835632016764
"A2G",48.1550215894504
"A2H",52.2005017520382
"A2J",50.2376668048447
"A2K",55.5266839235809
"A2L",57.9832828676911
"A2M",41.8371654446488
"A2N",46.2495301077338
"A2P",47.1923780487805
"A2R",39.1766112565445
"A2S",54.2712827165852
"A2T",48.5129387457463
"A2U",43.3861717325228
"A2V",53.4267207519241
"A2X",40.0740421173108
"A2Y",37.3394073969646
"A30",49.0707301141715
"A31",42.9766086669237
"A32",46.8342602695764
"A33",51.0498867444082
"A34",47.8701826677995
