"","x"
"700",-50.141935483871
"701",-44.218947368421
"702",-44.54125
"703",-47.0823076923077
"704",-47.744
"705",-51.8725
"706",-49.1125
"707",-52.7988888888889
"708",-46.0892105263158
"709",-47.997
"710",-48.25
"711",-48.8287096774194
"712",-46.654375
"713",-47.7063636363636
"714",-48.5544117647059
"715",-45.145
"716",-44.3738235294118
"717",-50.8566666666667
"718",-44.36875
"719",-53.6385714285714
"720",-48.6263636363636
"721",-49.5881818181818
"722",-50.0974193548387
"723",-49.7752631578947
"724",-47.9990909090909
"725",-46.6016666666667
"726",-47.738064516129
"727",-47.514
"728",-48.848
"729",-48.963
"731",-45.5666666666667
"732",-45.5546875
"733",-50.0280769230769
"735",-47.0646153846154
"736",-48.5703571428571
"737",-49.2118181818182
"738",-48.0282142857143
"739",-47.5124137931034
"740",-47.81875
"741",-49.906
"742",-46.5058333333333
"743",-48.1267857142857
"744",-47.215
"745",-48.8563636363636
"746",-46.4757142857143
"747",-44.9189655172414
"748",-45.9116666666667
"749",-46.3716666666667
"751",-49.4958333333333
"754",-48.71
"755",-46.441724137931
"756",-45.0927272727273
"757",-45.6004
"758",-45.0855172413793
"759",-46.7654545454545
"760",-42.914
"761",-51.0652
"763",-47.1836363636364
"765",-47.4873684210526
"766",-47.7481818181818
"767",-51.9388461538462
"768",-46.594
"769",-46.64
"770",-48.6729032258065
"771",-50.458
"772",-47.836
"773",-44.9452631578947
"774",-50.412
"775",-48.5375
"776",-48.3732142857143
"777",-48.0035714285714
"778",-48.9162068965517
"779",-46.09375
"780",-44.11
"781",-47.33
"782",-46.9812903225806
"783",-43.9541935483871
"784",-48.8448275862069
"786",-50.2248275862069
"788",-47.0425
"789",-45.49
"790",-46.686
"791",-46.295
"793",-45.540487804878
"794",-46.1126829268293
"795",-49.0139285714286
"796",-42.638
"797",-47.6551724137931
"798",-50.8128571428571
"799",-48.5303125
"800",-49.055
"802",-47.008
"803",-47.054
"804",-47.2672727272727
"805",-48.7675
"806",-49.7720588235294
"807",-47.8922222222222
"808",-47.99125
"809",-47.2331578947368
"810",-44.9971428571429
"811",-47.9625
"812",-47.8238235294118
"813",-48.4471428571429
"814",-46.9714705882353
"815",-46.3626470588235
"816",-46.2183333333333
"818",-49.285
"819",-45.6565517241379
"820",-51.01
"821",-48.4879310344828
"822",-47.3421052631579
"823",-50.573
"824",-48.5822222222222
"826",-45.3366666666667
"827",-42.8184615384615
"828",-45.0670967741935
"829",-51.438275862069
"830",-52.4639285714286
"831",-48.5838709677419
"832",-46.6975
"833",-43.9410204081633
"834",-48.595
"835",-49.3661764705882
"836",-47.56
"837",-47.4811428571429
"838",-52.252
"839",-50.6983870967742
"840",-46.8497058823529
"841",-46.1191176470588
"842",-48.94
"843",-51.4042857142857
"844",-49.4575
"845",-50.918
"846",-50.621875
"847",-45.2520689655172
"848",-46.2076
"849",-47.6388571428571
"851",-45.9612195121951
"852",-48.687
"853",-46.9259459459459
