"","features","rank_in_american","rank_in_british","difference"
"1","0",1629,6703,5074
"2","00",2712,6353,3641
"3","1",9826,9865,39
"4","1,000",7237,7613,376
"5","1,500",1649,3786,2137
"6","1.2",484,1460,976
"7","1.5",2629,3401,772
"8","10",9654,9666,12
"9","10,000",6944,6500,444
"10","100",9092,9025,67
"11","100,000",7069,6076,993
"12","101",1578,NA,NA
"13","11",9033,9255,222
"14","12",9180,9450,270
"15","12,000",997,997,0
"16","120",1251,4792,3541
"17","125",1190,1306,116
"18","13",8762,9062,300
"19","14",8669,9112,443
"20","15",9216,9411,195
"21","15,000",3537,3192,345
"22","150",5880,6738,858
"23","150,000",644,911,267
"24","16",8683,9123,440
"25","17",8761,8884,123
"26","18",8971,9126,155
"27","19",8907,8657,250
"28","1900",714,3045,2331
"29","1920s",4266,4799,533
"30","1930s",5484,6183,699
"31","1939",1296,5309,4013
"32","1940",225,5078,4853
"33","1940s",3405,2566,839
"34","1944",393,4800,4407
"35","1945",1516,6475,4959
"36","1948",3052,5448,2396
"37","1949",327,4463,4136
"38","1950",3580,5364,1784
"39","1950s",6366,6426,60
"40","1954",483,4478,3995
"41","1956",1751,4709,2958
"42","1958",2220,4796,2576
"43","1959",1161,4841,3680
"44","1960",4545,5984,1439
"45","1960s",7309,7486,177
"46","1962",2184,5393,3209
"47","1963",3122,5414,2292
"48","1964",3539,6228,2689
"49","1965",3316,6023,2707
"50","1967",4299,6586,2287
"51","1968",6076,7088,1012
"52","1969",3933,6534,2601
"53","1970",5235,7253,2018
"54","1970s",7403,7781,378
"55","1971",1693,7118,5425
"56","1972",5356,7209,1853
"57","1973",5109,7475,2366
"58","1974",5671,7704,2033
"59","1975",4811,7736,2925
"60","1976",4063,7850,3787
"61","1977",4229,7818,3589
"62","1978",4387,7888,3501
"63","1979",3875,8579,4704
"64","1980",5870,8494,2624
"65","1980s",8054,8099,45
"66","1981",4981,8587,3606
"67","1982",5676,8477,2801
"68","1983",4492,8664,4172
"69","1984",5645,8685,3040
