"","x"
"the",3856293
"of",1999553
"to",1563604
"and",1543966
"a",1294688
"in",1257549
"is",609233
"for",564506
"that",554561
"was",464902
"on",441373
"it",431691
"as",401367
"be",395496
"with",388681
"by",362419
"at",302240
"are",285103
"from",269811
"this",262042
"he",259947
"not",251974
"which",248218
"have",247957
"i",233509
"but",230586
"or",229284
"an",221315
"his",214388
"had",207088
"they",200727
"were",186504
"has",176196
"their",174048
"will",165634
"been",155878
"you",150825
"one",145656
"we",143725
"there",141052
"all",137470
"more",130781
"who",127998
"would",127839
"can",123756
"if",120694
"when",110933
"its",107465
"so",99640
"no",96957
"some",94963
"up",94472
"out",93866
"other",92850
"about",91277
"than",91270
"new",88425
"also",87148
"may",87148
"only",86019
"into",84027
"two",84025
"time",82193
"do",81663
"what",80813
"over",78101
"first",77863
"them",76715
"her",76029
"these",74810
"said",73681
"could",72602
"such",72508
"after",72279
"any",70465
"people",70138
"she",68415
"most",67303
"should",66987
"between",61132
"years",60276
"now",60270
"many",59279
"work",58575
"then",58479
"my",58380
"your",58362
"very",58049
"made",57760
"where",56511
"being",55551
"like",53562
"those",53198
"him",52912
"our",51911
"see",51728
"even",50302
"because",50196
"mr",49067
"much",48998
"way",48748
"government",48716
"year",47580
"just",46834
"before",46679
"last",46041
"well",45737
"did",44803
"both",44180
"us",44052
"make",43824
"through",43646
"how",43398
"however",42939
"three",42899
"per",42277
"under",41481
"own",41076
"good",39853
"use",38250
"still",37871
"back",37839
"against",37277
"must",37246
"me",36876
"take",36835
"world",36536
"down",36318
"part",36180
"local",36042
"social",35993
"each",35624
"used",35226
"same",34854
"while",34268
"1",33882
"since",33422
"right",32920
"another",32647
"day",32594
"too",32472
"get",32336
"cent",32327
"does",32146
"national",32056
"life",31903
"home",31768
"within",31631
"party",31597
"public",31537
"off",31178
"during",31041
"case",30611
"number",30353
"state",30352
"need",29833
"british",29469
"great",29308
"end",29264
"although",29225
"might",28988
"it's",28934
"house",28864
"set",28718
"place",28548
"old",28461
"children",28374
"little",28294
"2",28147
"different",28090
"go",27750
"general",27623
"system",27510
"second",27459
"political",27399
"group",27248
"long",27217
"given",26977
"without",26402
"important",25967
"company",25766
"less",25582
"found",25502
"course",25427
"rather",25397
"next",25196
"london",25089
"later",25051
"school",24942
"court",24918
"left",24769
"until",24763
"further",24758
"man",24725
"business",24666
"often",24544
"order",24399
"few",24360
"example",24296
"four",24107
"high",24092
"say",24011
"come",23907
"information",23790
"members",23580
"market",23566
"early",23556
"area",23518
"here",23518
"small",23503
"put",23341
"again",23325
"form",23256
"service",23240
"know",23193
"best",23165
"power",23080
"around",23048
"never",22965
"though",22844
"far",22732
"development",22673
"women",22662
"family",22641
"law",22574
"always",22407
"whether",22371
"labour",22369
"give",22354
"john",22338
"council",22325
"support",22319
"point",22231
"act",22204
"taken",22018
"help",21989
"money",21923
"education",21799
"policy",21662
"every",21482
"large",21464
"major",21452
"possible",21378
"says",21363
"country",21287
"fact",21283
"police",21275
"war",21206
"think",21171
"minister",21076
"economic",21035
"3",21016
"men",20901
"interest",20808
"came",20752
"find",20505
"become",20151
"having",20023
"change",20013
"p",19850
"going",19770
"following",19671
"already",19613
"seen",19534
"away",19361
"services",19344
"control",19300
"took",19265
"research",19215
"five",19203
"particular",19144
"young",19057
"terms",19014
"once",18953
"days",18839
"problems",18822
"available",18761
"s",18757
"working",18677
"held",18503
"d",18446
"period",18419
"least",18412
"million",18351
"yet",18312
"society",18249
"level",18237
"including",18223
"international",18222
"want",17950
"community",17948
"english",17944
"look",17834
"went",17814
"full",17766
"others",17657
"health",17649
"south",17579
"main",17525
"4",17481
"called",17478
"england",17451
"subject",17443
"better",17433
"week",17320
"got",17290
"almost",17231
"whole",17186
"office",17158
"able",17145
"road",17081
"means",17066
"west",17023
"problem",17022
"view",16988
"times",16986
"staff",16933
"action",16775
"thought",16711
"centre",16645
"making",16630
"areas",16628
"together",16621
"britain",16605
"night",16575
"side",16519
"trade",16514
"water",16485
"something",16472
"european",16419
"why",16310
"united",16269
"city",16231
"clear",16217
"10",16213
"m",16200
"care",16147
"months",16130
"among",16094
