"","x"
"1",-205.9225
"2",-205.848552772096
"3",-205.774605544192
"4",-205.700658316288
"5",-205.626711088385
"6",-205.552763860481
"7",-205.478816632577
"8",-205.404869404673
"9",-205.330922176769
"10",-205.256974948865
"11",-205.183027720962
"12",-205.109080493058
"13",-205.035133265154
"14",-204.96118603725
"15",-204.887238809346
"16",-204.813291581442
"17",-204.739344353539
"18",-204.665397125635
"19",-204.591449897731
"20",-204.517502669827
"21",-204.443555441923
"22",-204.369608214019
"23",-204.295660986115
"24",-204.221713758212
"25",-204.147766530308
"26",-204.073819302404
"27",-203.9998720745
"28",-203.925924846596
"29",-203.851977618692
"30",-203.778030390789
"31",-203.704083162885
"32",-203.630135934981
"33",-203.556188707077
"34",-203.482241479173
"35",-203.408294251269
"36",-203.334347023366
"37",-203.260399795462
"38",-203.186452567558
"39",-203.112505339654
"40",-203.03855811175
"41",-202.964610883846
"42",-202.890663655942
"43",-202.816716428039
"44",-202.742769200135
"45",-202.668821972231
"46",-202.594874744327
"47",-202.520927516423
"48",-202.446980288519
"49",-202.373033060616
"50",-202.299085832712
"51",-202.225138604808
"52",-202.151191376904
"53",-202.077244149
"54",-202.003296921096
"55",-201.929349693193
"56",-201.855402465289
"57",-201.781455237385
"58",-201.707508009481
"59",-201.633560781577
"60",-201.559613553673
"61",-201.485666325769
"62",-201.411719097866
"63",-201.337771869962
"64",-201.263824642058
"65",-201.189877414154
"66",-201.11593018625
"67",-201.041982958346
"68",-200.968035730443
"69",-200.894088502539
"70",-200.820141274635
"71",-200.746194046731
"72",-200.672246818827
"73",-200.598299590923
"74",-200.52435236302
"75",-200.450405135116
"76",-200.376457907212
"77",-200.302510679308
"78",-200.228563451404
"79",-200.1546162235
"80",-200.080668995596
"81",-200.006721767693
"82",-199.932774539789
"83",-199.858827311885
"84",-199.784880083981
"85",-199.710932856077
"86",-199.636985628173
"87",-199.56303840027
"88",-199.489091172366
"89",-199.415143944462
"90",-199.341196716558
"91",-199.267249488654
"92",-199.19330226075
"93",-199.119355032847
"94",-199.045407804943
"95",-198.971460577039
"96",-198.897513349135
"97",-198.823566121231
"98",-198.749618893327
"99",-198.675671665423
"100",-198.60172443752
"101",-198.527777209616
"102",-198.453829981712
"103",-198.379882753808
"104",-198.305935525904
"105",-198.231988298
"106",-198.158041070097
"107",-198.084093842193
"108",-198.010146614289
"109",-197.936199386385
"110",-197.862252158481
"111",-197.788304930577
"112",-197.714357702674
"113",-197.64041047477
"114",-197.566463246866
"115",-197.492516018962
"116",-197.418568791058
"117",-197.344621563154
"118",-197.27067433525
"119",-197.196727107347
"120",-197.122779879443
"121",-197.048832651539
"122",-196.974885423635
"123",-196.900938195731
"124",-196.826990967827
"125",-196.753043739924
"126",-196.67909651202
"127",-196.605149284116
"128",-196.531202056212
"129",-196.457254828308
"130",-196.383307600404
"131",-196.309360372501
"132",-196.235413144597
"133",-196.161465916693
"134",-196.087518688789
"135",-196.013571460885
"136",-195.939624232981
"137",-195.865677005077
"138",-195.791729777174
"139",-195.71778254927
"140",-195.643835321366
"141",-195.569888093462
"142",-195.495940865558
"143",-195.421993637654
"144",-195.348046409751
"145",-195.274099181847
"146",-195.200151953943
"147",-195.126204726039
"148",-195.052257498135
"149",-194.978310270231
"150",-194.904363042328
"151",-194.830415814424
"152",-194.75646858652
"153",-194.682521358616
"154",-194.608574130712
"155",-194.534626902808
"156",-194.460679674904
"157",-194.386732447001
"158",-194.312785219097
"159",-194.238837991193
"160",-194.164890763289
"161",-194.090943535385
"162",-194.016996307481
"163",-193.943049079578
"164",-193.869101851674
"165",-193.79515462377
"166",-193.721207395866
"167",-193.647260167962
"168",-193.573312940058
"169",-193.499365712155
"170",-193.425418484251
"171",-193.351471256347
"172",-193.277524028443
"173",-193.203576800539
"174",-193.129629572635
"175",-193.055682344731
"176",-192.981735116828
"177",-192.907787888924
"178",-192.83384066102
"179",-192.759893433116
"180",-192.685946205212
"181",-192.611998977308
"182",-192.538051749405
"183",-192.464104521501
"184",-192.390157293597
"185",-192.316210065693
"186",-192.242262837789
"187",-192.168315609885
"188",-192.094368381982
"189",-192.020421154078
"190",-191.946473926174
"191",-191.87252669827
"192",-191.798579470366
"193",-191.724632242462
"194",-191.650685014558
"195",-191.576737786655
"196",-191.502790558751
"197",-191.428843330847
