"","x"
"1",1.61117322602774e-95
"2",1.82242808017725e-95
"3",2.06130953594377e-95
"4",2.33142086094447e-95
"5",2.63683403440066e-95
"6",2.98215055318072e-95
"7",3.37257010488148e-95
"8",3.81396812300227e-95
"9",4.31298336988328e-95
"10",4.8771168404378e-95
"11",5.514843445998e-95
"12",6.23573812516949e-95
"13",7.05061824024914e-95
"14",7.97170435652395e-95
"15",9.01280177111299e-95
"16",1.01895054618964e-94
"17",1.15194314697957e-94
"18",1.30224781143247e-94
"19",1.47211208784176e-94
"20",1.66407452903962e-94
"21",1.88100226857621e-94
"22",2.12613343571218e-94
"23",2.4031250306261e-94
"24",2.71610696080917e-94
"25",3.06974302937522e-94
"26",3.46929976719198e-94
"27",3.92072411487447e-94
"28",4.43073108934056e-94
"29",5.0069027147197e-94
"30",5.65779966098845e-94
"31",6.39308721813762e-94
"32",7.22367744162389e-94
"33",8.16188953925398e-94
"34",9.22163083396836e-94
"35",1.04186009348513e-93
"36",1.17705220845839e-93
"37",1.32973990300645e-93
"38",1.50218121896255e-93
"39",1.69692483712695e-93
"40",1.91684738383263e-93
"41",2.16519551300071e-93
"42",2.44563337327362e-93
"43",2.7622961474265e-93
"44",3.11985043869339e-93
"45",3.52356237719177e-93
"46",3.97937443068318e-93
"47",4.49399202901419e-93
"48",5.07498125259689e-93
"49",5.7308789941217e-93
"50",6.47131718169411e-93
"51",7.30716285323105e-93
"52",8.25067609913673e-93
"53",9.31568814621429e-93
"54",1.05178021440894e-92
"55",1.18746195402109e-92
"56",1.34059952953512e-92
"57",1.51343256036334e-92
"58",1.70848722452937e-92
"59",1.9286128223204e-92
"60",2.17702299230255e-92
"61",2.45734217000409e-92
"62",2.77365795425921e-92
"63",3.13058013031546e-92
"64",3.53330719352659e-92
"65",3.98770132411362e-92
"66",4.50037288358175e-92
"67",5.07877563861857e-92
"68",5.73131407057184e-92
"69",6.4674643000516e-92
"70",7.29791034922983e-92
"71",8.23469768172924e-92
"72",9.29140620464972e-92
"73",1.0483345192705e-91
"74",1.18277729044912e-91
"75",1.33441440099258e-91
"76",1.50543883407557e-91
"77",1.69832249182443e-91
"78",1.91585157098678e-91
"79",2.16116641270529e-91
"80",2.43780639064733e-91
"81",2.74976047269953e-91
"82",3.10152417129068e-91
"83",3.49816368726948e-91
"84",3.94538815339486e-91
"85",4.44963099727774e-91
"86",5.01814157167201e-91
"87",5.65908834407374e-91
"88",6.38167509969718e-91
"89",7.19627179427948e-91
"90",8.11456189835632e-91
"91",9.14970830551541e-91
"92",1.03165401368025e-90
"93",1.16317630656598e-90
"94",1.3114196116355e-90
"95",1.4785038258587e-90
"96",1.66681685367659e-90
"97",1.8790483940129e-90
"98",2.11822797460044e-90
"99",2.38776776600556e-90
"100",2.69151077428893e-90
"101",3.03378508606323e-90
"102",3.419464923867e-90
"103",3.85403936441963e-90
"104",4.34368967872196e-90
"105",4.89537637265733e-90
"106",5.51693714126907e-90
"107",6.21719710121022e-90
"108",7.00609283593024e-90
"109",7.89481197942314e-90
"110",8.89595027935967e-90
"111",1.00236883221233e-89
"112",1.12939903740248e-89
"113",1.27248280983846e-89
"114",1.43364322515642e-89
"115",1.61515758469645e-89
"116",1.81958927098316e-89
"117",2.04982358333075e-89
"118",2.30910804941903e-89
"119",2.60109777027907e-89
"120",2.92990642534757e-89
"121",3.30016364203967e-89
"122",3.71707952170855e-89
"123",4.18651721209508e-89
"124",4.71507452675596e-89
"125",5.31017573599329e-89
"126",5.98017479317365e-89
"127",6.73447141691209e-89
"128",7.58364162552472e-89
"129",8.53958451780794e-89
"130",9.61568731625503e-89
"131",1.08270109382763e-88
"132",1.21904986412178e-88
"133",1.37252106017621e-88
"134",1.54525876438887e-88
"135",1.73967477267476e-88
"136",1.95848192499014e-88
"137",2.20473157344463e-88
"138",2.48185570012516e-88
"139",2.79371425995669e-88
"140",3.14464839489977e-88
