"","x"
"1",9.86691802016195e-07
"2",9.95329667950093e-07
"3",1.00403949653192e-06
"4",1.01282185377011e-06
"5",1.02167730982922e-06
"6",1.03060643905785e-06
"7",1.03960982001689e-06
"8",1.04868803550785e-06
"9",1.05784167260137e-06
"10",1.06707132266594e-06
"11",1.07637758139672e-06
"12",1.08576104884461e-06
"13",1.09522232944543e-06
"14",1.10476203204932e-06
"15",1.11438076995033e-06
"16",1.12407916091607e-06
"17",1.13385782721772e-06
"18",1.14371739566003e-06
"19",1.15365849761169e-06
"20",1.16368176903566e-06
"21",1.17378785051989e-06
"22",1.18397738730811e-06
"23",1.1942510293308e-06
"24",1.20460943123638e-06
"25",1.21505325242259e-06
"26",1.225583157068e-06
"27",1.23619981416377e-06
"28",1.24690389754557e-06
"29",1.25769608592565e-06
"30",1.26857706292521e-06
"31",1.2795475171068e-06
"32",1.29060814200706e-06
"33",1.30175963616956e-06
"34",1.31300270317788e-06
"35",1.32433805168883e-06
"36",1.33576639546595e-06
"37",1.3472884534131e-06
"38",1.35890494960834e-06
"39",1.37061661333798e-06
"40",1.38242417913075e-06
"41",1.39432838679232e-06
"42",1.40632998143987e-06
"43",1.41842971353697e-06
"44",1.43062833892858e-06
"45",1.44292661887635e-06
"46",1.455325320094e-06
"47",1.46782521478305e-06
"48",1.48042708066857e-06
"49",1.49313170103536e-06
"50",1.50593986476416e-06
"51",1.51885236636813e-06
"52",1.53187000602955e-06
"53",1.54499358963677e-06
"54",1.55822392882122e-06
"55",1.57156184099488e-06
"56",1.58500814938767e-06
"57",1.59856368308533e-06
"58",1.61222927706734e-06
"59",1.62600577224507e-06
"60",1.6398940155003e-06
"61",1.65389485972374e-06
"62",1.66800916385392e-06
"63",1.68223779291628e-06
"64",1.69658161806242e-06
"65",1.71104151660962e-06
"66",1.72561837208064e-06
"67",1.74031307424359e-06
"68",1.75512651915216e-06
"69",1.77005960918608e-06
"70",1.7851132530917e-06
"71",1.80028836602291e-06
"72",1.81558586958222e-06
"73",1.83100669186209e-06
"74",1.84655176748655e-06
"75",1.86222203765295e-06
"76",1.87801845017403e-06
"77",1.89394195952016e-06
"78",1.90999352686191e-06
"79",1.92617412011274e-06
"80",1.94248471397201e-06
"81",1.95892628996824e-06
"82",1.97549983650252e-06
"83",1.99220634889227e-06
"84",2.00904682941517e-06
"85",2.02602228735338e-06
"86",2.04313373903797e-06
"87",2.06038220789362e-06
"88",2.07776872448356e-06
"89",2.09529432655475e-06
"90",2.11296005908334e-06
"91",2.13076697432034e-06
"92",2.14871613183757e-06
"93",2.16680859857387e-06
"94",2.18504544888151e-06
"95",2.20342776457296e-06
"96",2.22195663496781e-06
"97",2.24063315693996e-06
"98",2.2594584349652e-06
"99",2.27843358116884e-06
"100",2.29755971537379e-06
"101",2.31683796514881e-06
"102",2.33626946585696e-06
"103",2.35585536070452e-06
"104",2.37559680078996e-06
"105",2.39549494515329e-06
"106",2.41555096082567e-06
"107",2.43576602287923e-06
"108",2.45614131447725e-06
"109",2.47667802692453e-06
"110",2.49737735971811e-06
"111",2.51824052059817e-06
"112",2.53926872559929e-06
"113",2.56046319910198e-06
"114",2.58182517388437e-06
